iter	Passed	Remaining
281	1783	1378
282	1788	1371
283	1792	1363
284	1796	1355
285	1802	1348
286	1807	1341
287	1811	1333
288	1817	1327
289	1822	1319
290	1826	1311
291	1831	1304
292	1836	1297
293	1841	1290
294	1844	1281
295	1851	1275
296	1855	1268
297	1859	1260
298	1864	1253
299	1869	1246
300	1873	1238
301	1877	1230
302	1883	1224
303	1887	1217
304	1891	1209
305	1898	1203
306	1902	1196
307	1906	1188
308	1911	1181
309	1916	1174
310	1921	1167
311	1925	1159
312	1931	1154
313	1936	1146
314	1940	1139
315	1946	1133
316	1950	1126
317	1954	1118
318	1960	1112
319	1965	1105
320	1969	1098
321	1976	1092
322	1982	1086
323	1987	1079
324	1993	1073
325	1998	1066
326	2003	1059
327	2009	1053
328	2014	1047
329	2018	1040
330	2022	1032
331	2029	1026
332	2033	1019
333	2037	1012
334	2043	1006
335	2048	999
336	2052	992
337	2058	986
338	2063	979
339	2067	972
340	2071	965
341	2077	959
342	2082	953
343	2087	946
344	2094	940
345	2098	934
346	2102	926
347	2109	921
348	2114	914
349	2118	908
350	2126	902
351	2130	895
352	2134	889
353	2141	883
354	2146	876
355	2149	869
356	2156	863
357	2161	857
358	2165	850
359	2172	844
360	2177	838
361	2180	831
362	2187	825
363	2192	819
364	2196	812
365	2203	806
366	2208	800
367	2213	793
368	2220	788
369	2226	782
370	2230	775
371	2238	770
372	2244	764
373	2248	757
374	2255	751
375	2260	745
376	2266	739
377	2273	733
378	2277	727
379	2285	721
380	2290	715
381	2295	708
382	2302	703
383	2308	697
384	2313	690
385	2322	685
386	2327	679
387	2335	674
388	2341	668
389	2346	661
390	2354	656
391	2358	649
392	2367	644
393	2371	638
394	2375	631
395	2383	625
396	2387	619
397	2391	612
398	2398	607
399	2402	600
400	2406	594
401	2412	588
402	2417	581
403	2421	575
404	2428	569
405	2433	563
406	2437	557
407	2443	551
408	2449	545
409	2454	538
410	2462	533
411	2468	527
412	2473	521
413	2482	515
414	2488	509
415	2496	504
416	2502	498
417	2508	492
418	2516	486
419	2522	480
420	2530	474
421	2535	468
422	2543	463
423	2550	457
424	2556	451
425	2563	445
426	2567	439
427	2574	433
428	2579	426
429	2583	420
430	2589	414
431	2595	408
432	2599	402
433	2606	396
434	2610	390
435	2615	383
436	2622	378
437	2627	371
438	2631	365
439	2637	359
440	2642	353
441	2647	347
442	2652	341
443	2657	335
444	2662	329
445	2666	322
446	2673	316
447	2678	310
448	2681	304
449	2688	298
450	2693	292
451	2697	286
452	2704	280
453	2709	274
454	2712	268
455	2720	262
456	2725	256
457	2729	250
458	2736	244
459	2741	238
460	2745	232
461	2752	226
462	2757	220
463	2761	214
464	2769	208
465	2774	202
466	2778	196
467	2786	190
468	2790	184
469	2794	178
470	2802	172
471	2806	166
472	2809	160
473	2817	154
474	2821	148
475	2825	142
476	2832	136
477	2836	130
478	2840	124
479	2847	118
480	2852	112
481	2856	106
482	2861	100
483	2867	94
484	2871	88
485	2875	82
486	2881	76
487	2886	70
488	2891	65
489	2897	59
490	2902	53
491	2907	47
492	2913	41
493	2917	35
494	2921	29
495	2928	23
496	2933	17
497	2937	11
498	2943	5
499	2949	0
