,rmse,mae,r2
XGBoost,27.582414406359046,17.150190367516252,0.9287100196909633
LightGBM,28.181529511464756,17.770611852270264,0.9255794189224127
CatBoost,27.609612247389705,17.54565108424559,0.9285693583643126
Ensemble,27.282624805295153,17.07391017840514,0.9302512807101355
